"variable","importance"
"Q28",30.3175990241083
"Q26_1",16.0445120699457
"Q33",15.1791760714389
"Q15",14.9849667477548
"Q32",13.1509063062859
"Q8",12.48028058126
"Q29",12.3635568720152
"Q25_2",9.18118689360103
"Q3",8.38933162866681
"Q7",5.44777327935223
"Q21",4.72650606374428
"Q10",4.46351701728262
"Q1",4.12130122878046
"Q4_1",1.91149939626394
"Q26_4",0.348637015781921
