"cp","minsplit","minbucket","maxdepth","accuracy","kappa","balanced_accuracy","precision_satisfied","recall_satisfied","f1_satisfied","specificity"
5e-04,30,10,3,0.6875,0.363347405834972,0.683743000658761,0.622483961894125,0.659057971014493,0.633775157582581,0.70842803030303
0.001,30,10,3,0.6875,0.363347405834972,0.683743000658761,0.622483961894125,0.659057971014493,0.633775157582581,0.70842803030303
0.002,30,10,3,0.6875,0.363347405834972,0.683743000658761,0.622483961894125,0.659057971014493,0.633775157582581,0.70842803030303
0.005,30,10,3,0.689285714285714,0.36551601652347,0.68394062911726,0.629443668853832,0.65036231884058,0.633033042554752,0.717518939393939
0.01,30,10,3,0.68577694235589,0.356477961555182,0.679205780632411,0.626110335520499,0.63786231884058,0.624699709221418,0.720549242424242
0.02,30,10,3,0.667919799498747,0.314875281636778,0.657466650197629,0.60572591292555,0.594384057971014,0.594143120144606,0.720549242424242
5e-04,40,10,3,0.6875,0.363347405834972,0.683743000658761,0.622483961894125,0.659057971014493,0.633775157582581,0.70842803030303
0.001,40,10,3,0.6875,0.363347405834972,0.683743000658761,0.622483961894125,0.659057971014493,0.633775157582581,0.70842803030303
0.002,40,10,3,0.6875,0.363347405834972,0.683743000658761,0.622483961894125,0.659057971014493,0.633775157582581,0.70842803030303
0.005,40,10,3,0.689285714285714,0.36551601652347,0.68394062911726,0.629443668853832,0.65036231884058,0.633033042554752,0.717518939393939
0.01,40,10,3,0.68577694235589,0.356477961555182,0.679205780632411,0.626110335520499,0.63786231884058,0.624699709221418,0.720549242424242
0.02,40,10,3,0.667919799498747,0.314875281636778,0.657466650197629,0.60572591292555,0.594384057971014,0.594143120144606,0.720549242424242
5e-04,60,10,3,0.659022556390977,0.299933939518466,0.650549654150198,0.596519269219129,0.598731884057971,0.588102986827642,0.702367424242424
0.001,60,10,3,0.659022556390977,0.299933939518466,0.650549654150198,0.596519269219129,0.598731884057971,0.588102986827642,0.702367424242424
0.002,60,10,3,0.659022556390977,0.299933939518466,0.650549654150198,0.596519269219129,0.598731884057971,0.588102986827642,0.702367424242424
0.005,60,10,3,0.664348370927318,0.303645909888697,0.650096755599473,0.622674426934389,0.564492753623188,0.577790875980863,0.735700757575758
0.01,60,10,3,0.664411027568922,0.299452340904436,0.647733448616601,0.623449658449658,0.547644927536232,0.568116323379481,0.74782196969697
0.02,60,10,3,0.662625313283208,0.294518685993168,0.644900774044796,0.616681318681319,0.538949275362319,0.566047558810717,0.750852272727273
5e-04,80,10,3,0.659022556390977,0.299933939518466,0.650549654150198,0.596519269219129,0.598731884057971,0.588102986827642,0.702367424242424
0.001,80,10,3,0.659022556390977,0.299933939518466,0.650549654150198,0.596519269219129,0.598731884057971,0.588102986827642,0.702367424242424
0.002,80,10,3,0.659022556390977,0.299933939518466,0.650549654150198,0.596519269219129,0.598731884057971,0.588102986827642,0.702367424242424
0.005,80,10,3,0.664348370927318,0.303645909888697,0.650096755599473,0.622674426934389,0.564492753623188,0.577790875980863,0.735700757575758
0.01,80,10,3,0.664411027568922,0.299452340904436,0.647733448616601,0.623449658449658,0.547644927536232,0.568116323379481,0.74782196969697
0.02,80,10,3,0.662625313283208,0.294518685993168,0.644900774044796,0.616681318681319,0.538949275362319,0.566047558810717,0.750852272727273
5e-04,40,20,3,0.676911027568922,0.340856137213754,0.671630023056654,0.617035252708574,0.63786231884058,0.61857801335433,0.705397727272727
0.001,40,20,3,0.676911027568922,0.340856137213754,0.671630023056654,0.617035252708574,0.63786231884058,0.61857801335433,0.705397727272727
