"Q27_binary","Q7_n_non_missing","Q7_mean","Q7_median","Q7_sd","Q13_n_non_missing","Q13_mean","Q13_median","Q13_sd","Q25_2_n_non_missing","Q25_2_mean","Q25_2_median","Q25_2_sd","Q25_4_n_non_missing","Q25_4_mean","Q25_4_median","Q25_4_sd","Q26_1_n_non_missing","Q26_1_mean","Q26_1_median","Q26_1_sd","Q26_4_n_non_missing","Q26_4_mean","Q26_4_median","Q26_4_sd","political_knowledge_score_n_non_missing","political_knowledge_score_mean","political_knowledge_score_median","political_knowledge_score_sd"
"Satisfied",333,3.9009009009009,3,2.62387654084478,333,4.36036036036036,5,2.53574254040016,333,6.93993993993994,7,2.72582407059806,333,5.12312312312312,5,2.52335593139013,333,6.32732732732733,6,2.82700047589788,333,4.40840840840841,5,2.26048857634461,333,1.82282282282282,2,1.51154846255695
"Dissatisfied",469,3.43070362473348,2,2.68702082502365,469,4.31982942430704,5,2.44338702251238,469,4.9680170575693,5,2.8928589708711,469,4.64605543710021,5,2.75155169996929,469,4.26439232409382,5,2.84320127440506,469,4.01492537313433,5,2.41474084291379,469,1.28358208955224,1,1.38311210934941
